               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.031658,           0.0054037,                   0,             0.86165,             0.74776,             0.80239,             0.42331,            0.036179,           0.0056801,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.032066,           0.0067196,                   0,             0.91754,             0.89046,             0.92546,             0.49154,            0.034267,           0.0049734,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033597,           0.0055747,                   0,             0.94334,                0.84,             0.91566,             0.46288,            0.034389,           0.0049124,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.035611,           0.0061902,                   0,             0.84023,             0.84153,             0.87197,             0.47541,            0.033515,           0.0049496,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032627,           0.0056934,                   0,             0.99405,                0.92,             0.94998,             0.47748,            0.033616,           0.0045128,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.031556,           0.0050043,                   0,                   1,             0.91441,               0.957,             0.56967,            0.031103,           0.0043015,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034018,           0.0063604,                   0,             0.95798,              0.9122,             0.95563,             0.54826,            0.032762,            0.004303,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.031971,           0.0056864,                   0,             0.91995,             0.91944,             0.93887,               0.504,            0.035308,           0.0043955,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.032574,           0.0052961,                   0,             0.98206,                0.92,             0.94792,             0.44165,            0.039227,           0.0044503,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.033224,           0.0060207,                   0,               0.945,                0.92,             0.94203,             0.47551,            0.037095,           0.0044351,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.032711,           0.0057979,                   0,             0.94628,                0.92,             0.94152,             0.49286,            0.035088,           0.0044584,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.031262,            0.004854,                   0,                   1,              0.9161,             0.94125,             0.51994,            0.032522,           0.0044556,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.030974,           0.0051532,                   0,             0.98795,                0.92,             0.93921,             0.51529,            0.035149,           0.0044956,                   0,            0.005941,            0.005941,            0.005941
