               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.03727,            0.010384,           0.0023959,             0.94484,             0.92162,             0.94786,             0.46656,            0.038333,           0.0073137,             0.00266,            0.003961,            0.003961,            0.003961
                  63,             0.03564,            0.010911,           0.0021051,             0.93572,             0.93565,             0.94549,             0.51284,            0.036503,           0.0071764,           0.0026005,            0.003862,            0.003862,            0.003862
                  64,            0.035613,            0.010175,           0.0024137,             0.88689,             0.91634,             0.91559,             0.48272,            0.037301,           0.0073013,           0.0025486,            0.003763,            0.003763,            0.003763
                  65,            0.036571,            0.010531,           0.0022796,             0.88505,             0.91887,              0.9166,              0.4909,            0.036472,           0.0074863,           0.0024475,            0.003664,            0.003664,            0.003664
                  66,             0.03363,           0.0096208,           0.0016772,             0.95358,             0.94231,             0.94566,             0.44688,            0.038019,           0.0074015,           0.0023647,            0.003565,            0.003565,            0.003565
                  67,            0.034291,            0.010261,           0.0027503,             0.94446,             0.94231,              0.9553,             0.47896,            0.035352,           0.0072174,           0.0024033,            0.003466,            0.003466,            0.003466
                  68,            0.034167,           0.0090619,           0.0023705,              0.9464,             0.95048,             0.95525,             0.46896,             0.03607,           0.0072451,             0.00243,            0.003367,            0.003367,            0.003367
                  69,            0.032613,           0.0094289,           0.0021685,              0.9225,             0.91872,             0.93965,             0.47991,              0.0365,           0.0072899,           0.0024055,            0.003268,            0.003268,            0.003268
                  70,            0.032456,           0.0098931,           0.0019125,             0.92143,             0.90385,             0.92588,             0.46713,            0.037019,           0.0073156,           0.0023453,            0.003169,            0.003169,            0.003169
                  71,            0.033887,           0.0094813,           0.0025332,             0.97352,             0.93976,             0.94931,             0.46761,            0.037447,           0.0071411,           0.0024128,             0.00307,             0.00307,             0.00307
                  72,            0.032787,            0.009857,           0.0020643,             0.95167,             0.95191,             0.95274,             0.47818,            0.036333,           0.0069771,           0.0024227,            0.002971,            0.002971,            0.002971
